datetime;open;high;low;close;volume
2024-02-27 16:30:00;180.86000;181.010101;180.55000;180.69000;2764462
2024-02-27 15:30:00;181.16010;181.27000;180.75999;180.86279;3681857
2024-02-27 14:30:00;181.25;181.67000;180.30000;181.17000;8245225
2024-02-26 20:30:00;181.38000;181.47000;181.074997;181.14000;4001708
2024-02-26 19:30:00;181.71001;181.78000;181.25999;181.38000;3361670
2024-02-26 18:30:00;180.99001;181.73000;180.85001;181.71201;3813825
2024-02-26 17:30:00;180.97310;181.33000;180.64999;180.98500;3721259
2024-02-26 16:30:00;180.94000;181.25999;180.83501;180.97000;3653300
2024-02-26 15:30:00;181.61000;181.85001;180.74001;180.94000;5659166
2024-02-26 14:30:00;182.39999;182.75999;181.14841;181.60220;8939120
2024-02-23 20:30:00;182.59000;182.82001;182.23000;182.50999;5352894
2024-02-23 19:30:00;182.48000;182.69501;182.44000;182.58501;4028588
2024-02-23 18:30:00;182.95500;182.97000;182.43030;182.47000;2955884
2024-02-23 17:30:00;182.55499;182.96001;182.31000;182.95500;6905673
2024-02-23 16:30:00;183.054993;183.11501;182.39011;182.56000;4001601
2024-02-23 15:30:00;183.29500;183.55600;182.64000;183.059006;5717230
2024-02-23 14:30:00;185.0099945;185.039993;183.29500;183.30000;8567439
2024-02-22 20:30:00;184.56740;184.62000;184.17999;184.37000;7964831
2024-02-22 19:30:00;184.94000;184.95500;184.39000;184.56000;5171492
2024-02-22 18:30:00;184.050003;184.95000;183.94000;184.94000;4540628
2024-02-22 17:30:00;183.070007;184.11000;183;184.039993;4935398
2024-02-22 16:30:00;183.039993;183.25999;182.74001;183.059998;3670959
2024-02-22 15:30:00;183.059998;183.29680;182.46001;183.035004;4961137
2024-02-22 14:30:00;183.84000;184.039993;182.52400;183.054993;11857133
2024-02-21 20:30:00;181.21001;182.39000;181.20500;182.33000;4689099
2024-02-21 19:30:00;180.95000;181.30499;180.76500;181.20500;3885929
2024-02-21 18:30:00;181.42999;181.52000;180.66000;180.95000;3555971
2024-02-21 17:30:00;181.39000;181.72501;181.059998;181.42000;3311637
2024-02-21 16:30:00;182.14999;182.33000;181.36000;181.39000;3729837
2024-02-21 15:30:00;182.56000;182.64999;182.070007;182.15500;4359759
2024-02-21 14:30:00;181.60001;182.88879;181.55499;182.56000;9104336
2024-02-20 20:30:00;181.39000;181.66000;180.86000;181.61000;6301252
2024-02-20 19:30:00;180.69000;181.46001;180.47000;181.38271;3858975
2024-02-20 18:30:00;180.50500;180.84000;180.39999;180.69000;3193463
2024-02-20 17:30:00;180.74500;180.95000;180.44000;180.50999;3708310
2024-02-20 16:30:00;181.13000;181.37000;180.60001;180.74500;5338226
2024-02-20 15:30:00;180.46001;181.16499;180;181.125;6493899
2024-02-20 14:30:00;182;182.42999;180.24500;180.46001;11558221
2024-02-16 20:30:00;182.25999;182.31000;181.66499;182.28999;5087964
2024-02-16 19:30:00;183.14880;183.19749;182.029999;182.25600;4414931
2024-02-16 18:30:00;182.65700;183.17999;182.48500;183.14301;3501742
2024-02-16 17:30:00;182.95000;183.0099945;182.48000;182.64999;3133873
2024-02-16 16:30:00;183.15500;183.28999;182.72000;182.94009;3563098
2024-02-16 15:30:00;182.55000;183.44730;182.42000;183.14999;5935048
2024-02-16 14:30:00;183.75;184.85001;181.86000;182.54500;14074668
2024-02-15 20:30:00;182.38690;184.49001;182.21001;183.95000;11866107
2024-02-15 19:30:00;181.97000;182.64999;181.74001;182.38010;5376205
2024-02-15 18:30:00;182.045898;182.46001;181.86000;181.97890;5128374
2024-02-15 17:30:00;182.029999;182.19501;181.66499;182.050003;4337741
2024-02-15 16:30:00;182;182.24989;181.56000;182.024994;4268275
2024-02-15 15:30:00;181.89999;182.12000;181.44000;181.99001;7072846
2024-02-15 14:30:00;183.55000;184.089401;181.35001;181.88000;15865879
2024-02-14 20:30:00;183.53000;184.27000;183.42450;184.020004;6170787
2024-02-14 19:30:00;183.16000;183.56000;182.81000;183.52499;4560865
2024-02-14 18:30:00;182.58000;183.19000;182.49001;183.14999;4242351
2024-02-14 17:30:00;182.80000;182.92740;182.44000;182.57001;4266603
2024-02-14 16:30:00;183.49001;183.60001;182.50999;182.80000;5070640
2024-02-14 15:30:00;183.80499;183.96001;182.80350;183.49001;7267868
2024-02-14 14:30:00;185.32001;185.53000;183.42000;183.80000;10773002
2024-02-13 20:30:00;183.72501;185.20000;183.69000;185.029999;7155981
2024-02-13 19:30:00;184.28000;184.59500;183.51280;183.72990;5652730
2024-02-13 18:30:00;185.28999;185.38000;184.19000;184.28500;4531260
2024-02-13 17:30:00;185.48000;185.77000;185.11000;185.29500;3022354
2024-02-13 16:30:00;185.59500;185.73940;185.25160;185.47501;3585593
2024-02-13 15:30:00;185.47990;186.19000;185.36000;185.61000;5975114
2024-02-13 14:30:00;185.77000;186.21001;184.17999;185.47079;13054284
2024-02-12 20:30:00;187.10890;187.45000;186.88000;187.17999;4927400
2024-02-12 19:30:00;187.44501;187.5;186.78999;187.11000;3698293
2024-02-12 18:30:00;187.97501;188.10970;187.41000;187.45000;3735143
2024-02-12 17:30:00;187.86031;188.37000;187.86020;187.97501;3095209
2024-02-12 16:30:00;187.99001;188.17999;187.70000;187.86501;3034871
2024-02-12 15:30:00;187.47000;188.059998;187.38010;187.99001;5040878
2024-02-12 14:30:00;188.41499;188.67000;187.44000;187.46860;9188512
2024-02-09 20:30:00;188.81000;188.91000;188.57001;188.82001;4247081
2024-02-09 19:30:00;188.84070;189.029999;188.56500;188.81000;3908875
2024-02-09 18:30:00;189.48000;189.53000;188.70000;188.85001;3957939
2024-02-09 17:30:00;189.33501;189.67999;189.14999;189.47009;3946336
2024-02-09 16:30:00;189.58839;189.99001;189.10010;189.34000;5933174
2024-02-09 15:30:00;188.49001;189.86000;188.39999;189.58580;7401539
2024-02-09 14:30:00;188.64999;188.92999;188;188.49001;7269191
2024-02-08 20:30:00;188.35500;188.42000;188.070007;188.34000;4392367
2024-02-08 19:30:00;188.014999;188.44501;187.99001;188.34000;3130920
2024-02-08 18:30:00;188.23000;188.35001;187.99001;188.020004;2950677
2024-02-08 17:30:00;188.70900;188.75;188;188.23000;3684608
2024-02-08 16:30:00;187.99071;188.71989;187.93500;188.70000;3704042
2024-02-08 15:30:00;187.80000;188.22000;187.35001;188.0050049;6068902
2024-02-08 14:30:00;189.38499;189.53500;187.77000;187.79640;9404735
2024-02-07 20:30:00;189.17500;189.42000;188.93500;189.41000;5356489
2024-02-07 19:30:00;188.98000;189.41000;188.89000;189.17500;4428203
2024-02-07 18:30:00;189.13000;189.29500;188.86000;188.97340;3634993
2024-02-07 17:30:00;189;189.17500;188.64999;189.12000;4225096
2024-02-07 16:30:00;189.074997;189.27000;188.81000;188.99500;4142050
2024-02-07 15:30:00;190.38000;190.39999;188.80600;189.074997;7039606
2024-02-07 14:30:00;190.64000;191.050003;188.61000;190.37100;13070939
2024-02-06 20:30:00;188.36000;189.31000;188.17000;189.28999;4836714
2024-02-06 19:30:00;188.45000;188.63831;188.23000;188.35500;3103015
2024-02-06 18:30:00;188.89500;188.94000;188.36110;188.44850;2989009
2024-02-06 17:30:00;188.84000;189;188.42999;188.89000;3663298
2024-02-06 16:30:00;188.82001;189.14000;188.41000;188.84000;4757028
2024-02-06 15:30:00;187.91000;188.86000;187.27000;188.81500;6350337
2024-02-06 14:30:00;186.86000;188.63000;186.76950;187.92999;11081527
2024-02-05 20:30:00;188.34000;188.42000;187.64000;187.67000;5767234
2024-02-05 19:30:00;188.48700;188.84000;188.029999;188.35001;6093208
2024-02-05 18:30:00;188.54010;189.020004;188.38499;188.46500;4527382
2024-02-05 17:30:00;188.42999;189.25;188.42000;188.54010;7252942
2024-02-05 16:30:00;187.25;188.49001;187.23010;188.42999;6730072
2024-02-05 15:30:00;186.67000;187.75999;186.11000;187.25;7667117
2024-02-05 14:30:00;187.125;188.36000;185.84000;186.70000;21074171
2024-02-02 20:30:00;186.73500;186.89000;185.83000;185.84000;7701037
2024-02-02 19:30:00;186.089996;187.070007;186.080002;186.73000;7311261
2024-02-02 18:30:00;186.039993;186.24001;185.59000;186.080002;5735681
